id,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_level
AS14.29,2014-03-22,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-23,,,,,,1.0,,,,,,,,,,,,,,low
AS14.29,2014-03-24,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-25,,,,,,,1.0,,,,,,,,,,,,,low
AS14.29,2014-03-26,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-27,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-28,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-29,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-30,,,,,,,,,,,,,,,,,,,,low
AS14.29,2014-03-31,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-04-01,,,,,,1.0,1.0,,,,,,,,,,,,,low
AS14.29,2014-04-02,8.5,0.25,1.5,0.1535813214052014,71.78528945696983,,1.0,22.2425,26.352714285714285,7.023,,,6.357677966101695,24.349857142857143,121.27055555555556,,,4.708666666666667,,high
AS14.29,2014-04-03,7.25,-1.0,0.25,0.188691342088908,49.86496202855168,,,5.7832173913043485,23.664822784810127,,,,17.327933333333334,27.578,106.57035714285712,45.35850000000001,,,,medium
AS14.29,2014-04-04,8.0,-1.25,0.75,0.0151262922038926,84.40587231453429,1.0,,3.3805,34.446083333333334,34.4132,,,3.4141081081081084,13.888,86.27217391304347,97.2375,,,,medium
AS14.29,2014-04-05,8.2,0.8,0.8,0.1498821499583368,56.248578514934586,,1.0,6.604521739130434,29.609506024096383,,,,5.938972222222223,17.531,74.67927027027027,63.3988,,,,high
AS14.29,2014-04-06,7.75,0.0,1.0,0.114635345061642,140.1750441123457,,1.0,20.161166666666663,42.8393,,,,3.847988888888889,35.884,111.30725,,,5.019333333333333,,medium
AS14.29,2014-04-07,7.2,-0.6,0.2,0.1954092748210394,78.26521678737826,,,13.33195,40.16311290322581,47.142,,,5.243184210526316,23.498,71.13519417475729,,,,,medium
AS14.29,2014-04-08,7.8,-0.8,1.0,0.1375670634731195,83.55788764257109,,1.0,22.01332727272727,39.10152586206897,63.34545454545455,,,6.823195238095239,14.498399999999998,76.11705555555555,36.5978,,,,medium
AS14.29,2014-04-09,7.6,0.4,0.4,0.0684037452212791,81.41124638612722,,,21.350454545454543,50.03039682539683,,,,6.968941860465116,12.3216,145.1963181818182,,,1.0074999999999998,,medium
