id,time,appCat.utilities
AS14.01,2014-04-24 19:31:40.019,112.508
AS14.01,2014-04-24 20:10:11.178,47.193
AS14.01,2014-04-24 21:08:28.948,1.001
AS14.01,2014-04-24 21:08:29.950,15.073
AS14.01,2014-04-24 21:09:41.342,3.056
AS14.01,2014-04-24 21:10:03.631,24.079
AS14.01,2014-04-24 22:28:14.854,131.678
AS14.01,2014-04-24 22:52:23.204,10.022
AS14.01,2014-04-24 22:52:39.267,5.015
AS14.01,2014-04-24 22:52:49.334,34.133
AS14.01,2014-04-24 22:54:17.698,27.109
AS14.01,2014-04-24 23:15:52.375,40.147
AS14.01,2014-04-25 10:12:28.766,17.148
AS14.01,2014-04-25 10:27:34.608,11.037
AS14.01,2014-04-25 18:27:10.233,56.271
AS14.01,2014-04-25 19:17:05.470,38.14
AS14.01,2014-04-25 19:19:04.881,131.766
AS14.01,2014-04-25 19:21:29.769,9.022
AS14.01,2014-04-25 19:42:21.829,3.62
AS14.01,2014-04-25 19:48:24.301,5.263
AS14.01,2014-04-25 19:48:31.306,1.195
AS14.01,2014-04-25 19:49:20.046,9.846
AS14.01,2014-04-25 19:55:05.720,14.822
AS14.01,2014-04-25 20:11:22.582,2.569
AS14.01,2014-04-25 20:12:46.171,2.066
AS14.01,2014-04-25 20:15:46.250,2.043
AS14.01,2014-04-25 20:17:08.026,28.089
AS14.01,2014-04-25 20:18:17.421,3.03
AS14.01,2014-04-25 20:18:46.562,12.047
AS14.01,2014-04-26 10:50:22.305,11.051
AS14.01,2014-04-26 11:32:58.553,11.041
AS14.01,2014-04-26 11:49:52.492,1.005
AS14.01,2014-04-26 11:49:53.497,10.522
AS14.01,2014-04-26 12:18:19.549,14.054
AS14.01,2014-04-26 13:18:58.318,4.022
AS14.01,2014-04-26 19:21:50.569,51.73
AS14.01,2014-04-26 19:56:37.349,3.009
AS14.01,2014-04-26 20:25:56.595,17.272
AS14.01,2014-04-26 20:26:38.164,71.336
AS14.01,2014-04-26 20:28:32.742,3.014
AS14.01,2014-04-26 20:29:23.907,39.137
AS14.01,2014-04-26 20:32:27.733,9.081
AS14.01,2014-04-26 20:33:43.161,5.039
AS14.01,2014-04-26 20:35:42.707,4.013
AS14.01,2014-04-26 20:46:16.331,5.95
AS14.01,2014-04-26 20:46:28.520,13.606
AS14.01,2014-04-26 20:47:09.447,9.282
AS14.01,2014-04-26 22:11:39.374,15.5
AS14.01,2014-04-26 22:12:17.655,3.022
AS14.01,2014-04-26 22:20:01.349,13.077
AS14.01,2014-04-27 14:41:03.308,1.01
AS14.01,2014-04-27 14:41:04.322,11.063
AS14.01,2014-04-27 14:42:16.730,1.011
AS14.01,2014-04-27 16:34:49.829,19.059
AS14.01,2014-04-27 21:01:20.529,14.062
AS14.01,2014-04-27 21:02:03.960,14.133
AS14.01,2014-04-28 10:15:49.154,17.085
AS14.01,2014-04-28 10:17:49.969,22.1
AS14.01,2014-04-28 10:19:39.671,6.029
AS14.01,2014-04-28 10:20:03.994,35.124
AS14.01,2014-04-28 10:25:47.548,23.097
AS14.01,2014-04-28 10:32:43.696,9.03
AS14.01,2014-04-28 10:36:58.158,29.119
