id,time,sms
AS14.06,2014-03-15 11:00:57.000,1.0
AS14.06,2014-03-15 11:02:11.000,1.0
AS14.06,2014-03-15 15:23:07.000,1.0
AS14.06,2014-03-15 15:24:19.000,1.0
AS14.06,2014-03-15 18:47:24.332,1.0
AS14.06,2014-03-15 18:53:25.000,1.0
AS14.06,2014-03-16 17:06:01.674,1.0
AS14.06,2014-03-16 21:43:35.000,1.0
AS14.06,2014-03-17 18:49:34.000,1.0
AS14.06,2014-03-20 18:53:29.414,1.0
AS14.06,2014-03-21 10:30:25.000,1.0
AS14.06,2014-03-22 06:45:41.000,1.0
AS14.06,2014-03-22 06:46:54.000,1.0
AS14.06,2014-03-22 08:28:07.000,1.0
AS14.06,2014-03-22 08:29:14.000,1.0
AS14.06,2014-03-22 12:01:50.000,1.0
AS14.06,2014-03-22 12:03:36.000,1.0
AS14.06,2014-03-23 20:43:48.000,1.0
AS14.06,2014-03-28 15:55:15.000,1.0
AS14.06,2014-03-30 12:17:14.397,1.0
AS14.06,2014-03-30 12:55:34.000,1.0
AS14.06,2014-03-30 13:03:26.882,1.0
AS14.06,2014-03-30 22:51:56.000,1.0
AS14.06,2014-04-08 18:59:31.000,1.0
AS14.06,2014-04-10 18:56:22.000,1.0
AS14.06,2014-04-10 19:02:06.000,1.0
AS14.06,2014-04-10 19:54:00.351,1.0
AS14.06,2014-04-10 19:56:21.000,1.0
AS14.06,2014-04-15 11:03:41.000,1.0
AS14.06,2014-04-22 17:02:15.000,1.0
AS14.06,2014-04-24 15:46:26.565,1.0
AS14.06,2014-04-24 16:26:21.000,1.0
AS14.06,2014-04-24 16:34:19.160,1.0
AS14.06,2014-04-26 15:13:55.000,1.0
AS14.06,2014-05-07 15:33:23.022,1.0
AS14.06,2014-05-07 20:01:49.000,1.0
AS14.06,2014-05-07 20:35:15.496,1.0
AS14.07,2014-03-17 21:03:46.401,1.0
AS14.07,2014-03-19 17:57:31.588,1.0
AS14.07,2014-03-19 17:57:48.088,1.0
AS14.07,2014-03-20 23:24:03.359,1.0
AS14.07,2014-03-24 12:08:40.444,1.0
AS14.07,2014-03-24 14:48:11.763,1.0
AS14.07,2014-03-24 16:37:38.947,1.0
AS14.07,2014-03-24 16:51:39.956,1.0
AS14.07,2014-03-24 16:52:56.153,1.0
AS14.07,2014-03-24 16:53:04.918,1.0
AS14.07,2014-03-24 16:53:30.651,1.0
AS14.07,2014-03-24 16:54:07.871,1.0
AS14.07,2014-03-24 17:08:18.878,1.0
AS14.07,2014-03-26 10:59:59.460,1.0
AS14.07,2014-03-26 11:08:07.635,1.0
AS14.07,2014-03-26 11:32:38.384,1.0
AS14.07,2014-03-26 15:14:07.642,1.0
AS14.07,2014-03-27 09:42:57.598,1.0
AS14.07,2014-03-27 13:35:59.444,1.0
AS14.07,2014-03-27 13:36:11.355,1.0
AS14.07,2014-03-27 14:31:28.648,1.0
AS14.07,2014-03-27 15:42:44.821,1.0
AS14.07,2014-03-27 15:44:37.970,1.0
AS14.07,2014-03-27 15:45:59.526,1.0
AS14.07,2014-03-27 15:46:59.114,1.0
AS14.07,2014-03-29 08:19:04.322,1.0
AS14.07,2014-03-29 09:05:59.249,1.0
AS14.07,2014-03-29 09:42:07.701,1.0
AS14.07,2014-03-29 13:50:27.937,1.0
AS14.07,2014-03-29 13:54:21.744,1.0
AS14.07,2014-03-30 13:40:24.022,1.0
AS14.07,2014-03-31 15:46:27.438,1.0
AS14.07,2014-04-01 15:00:44.556,1.0
AS14.07,2014-04-01 15:02:12.857,1.0
AS14.07,2014-04-01 15:10:35.776,1.0
AS14.07,2014-04-01 15:13:27.394,1.0
AS14.07,2014-04-01 15:14:22.253,1.0
AS14.07,2014-04-01 15:19:41.648,1.0
AS14.07,2014-04-01 18:04:59.647,1.0
AS14.07,2014-04-01 22:13:16.494,1.0
AS14.07,2014-04-02 14:56:55.013,1.0
AS14.07,2014-04-02 14:59:10.372,1.0
AS14.07,2014-04-02 15:46:51.569,1.0
AS14.07,2014-04-02 21:10:03.905,1.0
AS14.07,2014-04-04 14:53:45.519,1.0
AS14.07,2014-04-04 22:45:36.042,1.0
AS14.07,2014-04-05 16:45:45.516,1.0
AS14.07,2014-04-05 17:36:05.042,1.0
AS14.07,2014-04-05 17:36:24.181,1.0
AS14.07,2014-04-05 17:36:49.792,1.0
AS14.07,2014-04-05 18:25:38.157,1.0
AS14.07,2014-04-06 20:33:04.763,1.0
AS14.07,2014-04-06 23:39:22.713,1.0
AS14.07,2014-04-06 23:48:24.086,1.0
AS14.07,2014-04-07 16:52:59.842,1.0
AS14.07,2014-04-09 15:52:19.818,1.0
AS14.07,2014-04-09 21:46:15.523,1.0
AS14.07,2014-04-10 11:34:36.150,1.0
AS14.07,2014-04-10 11:44:41.407,1.0
AS14.07,2014-04-10 11:57:56.723,1.0
AS14.07,2014-04-10 16:18:43.128,1.0
AS14.07,2014-04-11 21:54:34.760,1.0
AS14.07,2014-04-12 11:02:33.530,1.0
AS14.07,2014-04-12 11:03:37.904,1.0
AS14.07,2014-04-12 11:05:39.612,1.0
AS14.07,2014-04-12 11:06:00.766,1.0
AS14.07,2014-04-12 14:01:52.565,1.0
AS14.07,2014-04-12 14:02:15.631,1.0
AS14.07,2014-04-12 14:56:07.325,1.0
AS14.07,2014-04-12 15:39:37.727,1.0
AS14.07,2014-04-12 16:22:57.691,1.0
AS14.07,2014-04-12 17:28:48.921,1.0
AS14.07,2014-04-14 20:35:32.033,1.0
AS14.07,2014-04-16 11:11:15.686,1.0
AS14.07,2014-04-16 13:23:27.154,1.0
AS14.07,2014-04-16 13:23:45.834,1.0
AS14.07,2014-04-16 13:26:06.505,1.0
AS14.07,2014-04-16 13:26:37.499,1.0
AS14.07,2014-04-16 13:27:54.085,1.0
AS14.07,2014-04-16 18:59:42.970,1.0
AS14.07,2014-04-16 19:00:50.763,1.0
AS14.07,2014-04-18 17:19:40.733,1.0
AS14.07,2014-04-18 17:34:48.227,1.0
AS14.07,2014-04-22 08:29:02.920,1.0
AS14.07,2014-04-22 09:23:47.418,1.0
AS14.07,2014-04-24 18:23:43.176,1.0
AS14.07,2014-04-27 11:51:46.364,1.0
