id,time,appCat.social
AS14.01,2014-03-30 21:54:05.447,10.22
AS14.01,2014-03-31 09:37:56.286,92.587
AS14.01,2014-03-31 10:59:04.338,75.353
AS14.01,2014-03-31 11:00:21.707,48.196
AS14.01,2014-03-31 11:01:16.930,264.106
AS14.01,2014-03-31 11:06:26.355,189.658
AS14.01,2014-03-31 11:43:31.746,77.352
AS14.01,2014-03-31 11:54:04.615,5.05
AS14.01,2014-03-31 17:42:01.016,113.764
AS14.01,2014-03-31 18:15:52.239,33.282
AS14.01,2014-03-31 18:16:26.535,5.548
AS14.01,2014-03-31 18:18:17.351,2.076
AS14.01,2014-03-31 18:25:06.375,3.01
AS14.01,2014-03-31 18:25:22.479,16.078
AS14.01,2014-03-31 18:59:13.059,38.371
AS14.01,2014-03-31 18:59:57.446,2.006
AS14.01,2014-03-31 19:38:54.065,66.317
AS14.01,2014-03-31 19:40:39.677,12.048
AS14.01,2014-03-31 21:03:20.227,24.158
AS14.01,2014-03-31 21:23:20.690,53.518
AS14.01,2014-03-31 21:24:21.648,25.079
AS14.01,2014-03-31 21:24:48.782,35.119
AS14.01,2014-03-31 21:25:24.917,43.158
AS14.01,2014-03-31 21:27:02.418,75.496
AS14.01,2014-03-31 21:42:03.618,49.325
AS14.01,2014-04-01 00:07:23.901,72.154
AS14.01,2014-04-01 00:08:40.111,23.091
AS14.01,2014-04-01 00:10:12.651,43.519
AS14.01,2014-04-01 08:06:05.479,77.57
AS14.01,2014-04-01 08:07:27.082,251.949
AS14.01,2014-04-01 10:27:53.635,51.56
AS14.01,2014-04-01 10:59:13.463,15.242
AS14.01,2014-04-01 11:02:36.082,14.041
AS14.01,2014-04-01 11:41:45.378,23.311
AS14.01,2014-04-01 11:42:37.714,10.201
AS14.01,2014-04-01 11:43:29.776,34.165
AS14.01,2014-04-01 11:47:59.535,54.249
AS14.01,2014-04-01 11:50:37.058,54.492
AS14.01,2014-04-01 11:52:11.125,10.046
AS14.01,2014-04-01 11:52:43.321,5.019
AS14.01,2014-04-01 11:57:38.696,15.98
AS14.01,2014-04-01 11:58:34.881,4.096
AS14.01,2014-04-01 11:59:39.249,9.016
AS14.01,2014-04-01 11:59:58.980,12.779
AS14.01,2014-04-01 12:00:11.766,88.688
AS14.01,2014-04-01 12:01:53.591,190.755
AS14.01,2014-04-01 12:05:11.177,63.238
AS14.01,2014-04-01 12:06:22.059,9.486
AS14.01,2014-04-01 12:06:55.588,9.887
AS14.01,2014-04-01 12:07:07.845,9.682
AS14.01,2014-04-01 12:07:22.272,83.503
AS14.01,2014-04-01 12:18:57.559,15.46
AS14.01,2014-04-01 12:19:25.466,2.484
AS14.01,2014-04-01 12:19:36.506,29.278
AS14.01,2014-04-01 12:20:15.775,26.407
AS14.01,2014-04-01 12:41:58.035,17.174
AS14.01,2014-04-01 13:08:14.253,96.0
AS14.01,2014-04-01 13:10:49.516,19.07
AS14.01,2014-04-01 13:11:27.641,18.07
AS14.01,2014-04-01 13:13:10.552,15.055
AS14.01,2014-04-01 13:13:37.690,6.038
AS14.01,2014-04-01 13:14:09.868,11.48
AS14.01,2014-04-01 13:14:21.948,9.875
AS14.01,2014-04-01 13:15:11.502,6.038
AS14.01,2014-04-01 13:15:47.819,13.056
AS14.01,2014-04-01 13:16:55.072,5.235
AS14.01,2014-04-01 13:18:44.142,35.914
AS14.01,2014-04-01 13:32:18.549,18.756
AS14.01,2014-04-01 13:33:20.950,8.049
AS14.01,2014-04-01 13:42:18.273,85.175
AS14.01,2014-04-01 13:43:47.470,4.01
AS14.01,2014-04-01 13:43:54.494,31.902
AS14.01,2014-04-01 13:51:25.693,6.763
AS14.01,2014-04-01 13:52:33.289,2.384
AS14.01,2014-04-01 13:57:31.293,1.796
AS14.01,2014-04-01 13:57:48.167,3.009
AS14.01,2014-04-01 13:58:30.404,61.295
AS14.01,2014-04-01 13:59:34.759,53.163
AS14.01,2014-04-01 14:01:27.361,330.804
AS14.01,2014-04-01 14:06:58.170,97.847
AS14.01,2014-04-01 14:40:16.371,11.161
AS14.01,2014-04-01 14:40:52.848,3.009
AS14.01,2014-04-01 15:12:09.561,8.114
AS14.01,2014-04-01 15:40:32.556,5.02
AS14.01,2014-04-01 17:49:44.996,44.193
AS14.01,2014-04-01 17:50:29.193,42.129
AS14.01,2014-04-01 19:33:56.716,71.292
AS14.01,2014-04-01 19:35:25.117,2.03
AS14.01,2014-04-01 19:37:04.890,42.206
AS14.01,2014-04-01 19:37:51.117,806.605
AS14.01,2014-04-01 19:51:20.747,165.644
AS14.01,2014-04-01 19:54:40.670,176.439
AS14.01,2014-04-01 19:59:08.101,68.815
AS14.01,2014-04-01 20:00:18.971,9.383
AS14.01,2014-04-01 20:02:07.642,3.121
AS14.01,2014-04-01 20:03:35.519,43.24
AS14.01,2014-04-01 20:04:29.599,95.483
AS14.01,2014-04-01 20:06:08.286,46.024
AS14.01,2014-04-01 20:18:03.216,47.159
AS14.01,2014-04-01 20:19:03.486,3.052
AS14.01,2014-04-01 20:19:10.696,115.616
AS14.01,2014-04-01 20:22:20.437,46.262
AS14.01,2014-04-01 20:24:58.496,3.106
AS14.01,2014-04-01 20:26:59.322,7.266
AS14.01,2014-04-01 20:27:25.940,16.042
AS14.01,2014-04-01 20:30:29.828,21.052
