id,time,appCat.game
AS14.23,2014-04-11 19:47:28.295,560.598
AS14.23,2014-04-11 19:57:34.230,21.082
AS14.23,2014-04-11 23:14:50.002,29.201
AS14.23,2014-04-12 00:17:36.878,312.441
AS14.23,2014-04-12 10:58:33.671,69.216
AS14.23,2014-04-12 11:25:00.174,76.737
AS14.23,2014-04-12 11:27:38.795,12.042
AS14.23,2014-04-12 11:27:50.842,9.034
AS14.23,2014-04-12 13:35:01.224,24.061
AS14.23,2014-04-12 13:35:31.845,89.942
AS14.23,2014-04-12 13:38:02.033,9.037
AS14.23,2014-04-13 15:31:15.707,16.824
AS14.23,2014-04-13 23:42:23.562,2.008
AS14.23,2014-04-14 00:32:43.719,284.301
AS14.23,2014-04-14 08:58:46.930,88.896
AS14.23,2014-04-14 10:47:32.257,508.461
AS14.23,2014-04-14 11:15:53.494,95.736
AS14.23,2014-04-14 11:17:53.759,52.197
AS14.23,2014-04-14 14:08:51.891,137.469
AS14.23,2014-04-14 14:11:10.055,14.991
AS14.23,2014-04-14 14:11:40.213,94.448
AS14.23,2014-04-14 14:13:23.822,407.505
AS14.23,2014-04-14 14:20:11.855,1055.809
AS14.23,2014-04-14 14:50:41.528,3.473
AS14.23,2014-04-14 14:58:00.964,2.087
AS14.23,2014-04-14 15:05:00.802,213.042
AS14.23,2014-04-14 15:09:30.164,43.447
AS14.23,2014-04-14 15:10:30.618,160.663
AS14.23,2014-04-14 15:13:13.865,70.918
AS14.23,2014-04-14 15:14:25.457,94.866
AS14.23,2014-04-14 15:18:05.492,15.061
AS14.23,2014-04-14 15:23:58.788,526.619
AS14.23,2014-04-14 15:34:38.303,4.138
AS14.23,2014-04-14 15:39:30.849,810.135
AS14.23,2014-04-14 23:21:56.983,35.553
AS14.23,2014-04-15 00:30:57.645,287.015
AS14.23,2014-04-15 12:32:28.960,14.812
AS14.23,2014-04-15 12:32:44.569,7.932
AS14.23,2014-04-15 12:35:00.390,2.025
AS14.23,2014-04-15 12:48:40.045,499.81
AS14.23,2014-04-15 16:00:34.773,4.061
AS14.23,2014-04-15 16:01:02.510,73.503
AS14.23,2014-04-15 16:03:15.743,1.51
AS14.23,2014-04-15 16:10:17.744,11.05
AS14.23,2014-04-16 00:29:34.289,83.49
AS14.23,2014-04-16 08:57:59.990,149.564
AS14.23,2014-04-16 09:00:49.029,6.06
AS14.23,2014-04-17 10:38:54.471,15.097
AS14.23,2014-04-17 10:39:17.729,54.524
AS14.23,2014-04-17 10:40:13.039,217.907
AS14.23,2014-04-17 10:55:23.736,17.574
AS14.23,2014-04-17 11:06:03.408,47.607
AS14.23,2014-04-17 11:08:53.487,4.031
AS14.23,2014-04-19 13:21:09.808,104.382
AS14.23,2014-04-19 13:22:55.730,29.254
AS14.23,2014-04-20 12:55:30.930,14.687
AS14.23,2014-04-20 20:52:42.717,36.042
AS14.23,2014-04-23 12:03:54.690,16.089
AS14.23,2014-04-23 12:04:42.915,243.199
AS14.23,2014-04-23 12:08:49.135,28.162
AS14.23,2014-04-24 12:10:39.180,3.008
AS14.23,2014-04-26 13:28:32.832,1.01
AS14.23,2014-04-28 01:10:36.763,1362.881
AS14.23,2014-04-28 13:53:41.069,7.13
AS14.23,2014-04-28 13:54:19.436,71.32
AS14.25,2014-04-08 21:25:06.704,107.438
AS14.25,2014-04-08 23:00:01.773,35.583
AS14.25,2014-04-08 23:16:41.461,3.066
AS14.25,2014-04-08 23:18:32.841,16.464
AS14.25,2014-04-09 09:34:27.707,98.711
AS14.25,2014-04-09 09:36:19.470,133.996
AS14.25,2014-04-09 09:38:41.618,176.855
AS14.25,2014-04-09 22:30:38.078,120.452
AS14.25,2014-04-10 18:38:48.319,34.28
AS14.25,2014-04-11 00:59:40.296,40.733
AS14.25,2014-04-13 00:40:53.170,266.713
AS14.25,2014-04-13 00:46:09.994,9.045
AS14.25,2014-04-18 18:09:13.565,10.035
AS14.25,2014-04-19 00:05:20.532,38.832
AS14.25,2014-04-19 00:13:22.311,56.706
AS14.25,2014-04-19 00:14:32.861,46.836
AS14.25,2014-04-20 20:16:04.151,34.991
AS14.25,2014-04-20 20:18:20.921,27.15
AS14.25,2014-04-21 11:22:17.306,13.061
AS14.25,2014-04-21 11:22:32.380,21.094
AS14.25,2014-04-21 11:22:56.492,139.06
AS14.25,2014-04-21 16:51:54.183,153.958
AS14.25,2014-04-22 06:16:34.986,18.07
AS14.25,2014-04-24 07:55:03.904,18.084
AS14.25,2014-04-24 07:55:53.851,2.006
AS14.25,2014-04-24 08:00:08.598,90.495
AS14.25,2014-04-24 15:38:24.759,15.069
AS14.25,2014-04-25 07:45:42.434,39.272
AS14.25,2014-04-25 16:53:16.131,52.26
AS14.25,2014-04-25 16:54:14.418,138.8
AS14.25,2014-04-25 22:02:30.267,5.307
AS14.25,2014-04-25 22:05:23.845,462.792
AS14.25,2014-04-25 22:13:08.654,109.513
AS14.25,2014-04-25 22:15:12.296,154.925
AS14.25,2014-04-25 22:25:21.417,174.718
AS14.25,2014-04-27 16:50:23.108,60.088
AS14.25,2014-04-27 16:53:03.684,91.382
AS14.25,2014-04-27 17:23:06.990,80.041
AS14.25,2014-04-27 17:29:19.088,10.058
AS14.25,2014-04-27 17:50:54.141,3.04
AS14.25,2014-04-27 17:51:49.457,1.003
AS14.25,2014-04-28 08:46:21.111,174.958
AS14.25,2014-04-28 17:31:01.299,147.761
AS14.25,2014-04-28 22:31:33.362,228.26
AS14.25,2014-04-29 23:53:51.838,228.442
AS14.25,2014-04-29 23:57:50.250,207.806
AS14.25,2014-05-02 08:20:31.226,47.654
AS14.25,2014-05-02 08:21:47.270,109.426
AS14.25,2014-05-02 08:24:07.852,14.09
AS14.25,2014-05-03 12:35:46.000,9.068
AS14.25,2014-05-03 20:56:04.164,63.948
AS14.25,2014-05-03 21:17:07.694,5.071
AS14.25,2014-05-04 00:36:12.576,978.279
AS14.25,2014-05-05 06:25:33.013,197.199
AS14.25,2014-05-06 10:56:21.914,46.193
AS14.25,2014-05-06 21:57:05.142,253.841
AS14.25,2014-05-06 22:01:41.088,373.976
AS14.25,2014-05-06 22:08:05.177,155.66
AS14.25,2014-05-07 07:54:17.792,17.071
AS14.25,2014-05-07 08:11:39.171,317.287
AS14.25,2014-05-07 08:16:59.473,482.702
AS14.25,2014-05-07 11:51:21.897,9.059
AS14.25,2014-05-07 11:51:33.976,110.893
AS14.25,2014-05-07 15:19:06.380,238.162
AS14.25,2014-05-07 20:24:00.207,381.761
AS14.25,2014-05-07 20:30:24.983,365.434
AS14.25,2014-05-08 07:11:36.707,38.182
AS14.25,2014-05-08 07:16:22.881,80.762
AS14.25,2014-05-08 08:27:25.130,2.025
AS14.25,2014-05-08 08:27:31.171,29.148
AS14.25,2014-05-08 08:42:48.726,226.337
AS14.27,2014-04-03 08:56:39.380,59.736
AS14.27,2014-04-03 08:57:43.346,101.465
AS14.27,2014-04-03 10:49:01.089,80.41
AS14.27,2014-04-03 22:08:27.315,10.049
AS14.27,2014-04-03 22:08:38.378,65.301
AS14.27,2014-04-03 22:09:45.709,16.063
AS14.27,2014-04-04 08:45:12.003,77.35
AS14.27,2014-04-04 08:46:33.377,105.609
