id,time,appCat.unknown
AS14.06,2014-05-04 15:07:59.217,71.891
AS14.07,2014-03-18 23:36:54.961,59.391
AS14.07,2014-03-19 12:58:32.667,63.351
AS14.07,2014-03-19 13:12:41.742,48.089
AS14.07,2014-03-19 13:15:24.811,24.641
AS14.07,2014-03-19 13:22:14.809,31.84
AS14.07,2014-03-19 13:28:34.750,49.139
AS14.07,2014-03-19 13:30:02.848,3.024
AS14.07,2014-03-19 14:33:13.029,27.06
AS14.07,2014-03-19 14:33:56.913,2.161
AS14.07,2014-03-19 14:41:28.565,5.855
AS14.07,2014-03-22 23:23:36.290,114.432
AS14.07,2014-03-28 17:07:10.569,38.146
AS14.07,2014-03-28 17:07:55.750,39.241
AS14.07,2014-03-28 17:08:39.033,21.112
AS14.07,2014-03-28 17:09:25.319,50.226
AS14.07,2014-03-28 17:10:36.638,21.078
AS14.07,2014-03-28 17:11:53.959,132.257
AS14.07,2014-03-28 17:45:08.875,3.013
AS14.07,2014-04-04 23:45:40.178,150.612
AS14.07,2014-04-08 21:56:31.667,14.092
AS14.07,2014-04-08 21:59:50.950,39.263
AS14.07,2014-04-08 22:01:30.559,37.191
AS14.07,2014-04-08 22:02:45.246,81.368
AS14.07,2014-04-08 22:04:44.857,41.167
AS14.07,2014-04-08 22:05:35.082,22.084
AS14.07,2014-04-08 22:06:02.244,47.171
AS14.07,2014-04-08 22:07:54.730,44.183
AS14.07,2014-04-08 22:08:43.937,20.169
AS14.07,2014-04-08 22:09:36.269,28.115
AS14.07,2014-04-08 22:10:14.441,40.162
AS14.07,2014-04-12 02:37:16.444,72.282
AS14.07,2014-04-16 22:00:56.257,22.088
AS14.07,2014-04-20 23:41:27.628,20.104
AS14.07,2014-04-20 23:41:54.772,23.081
AS14.07,2014-04-20 23:43:20.176,41.162
AS14.07,2014-04-21 00:36:12.809,22.102
AS14.07,2014-04-21 10:08:52.255,55.371
AS14.07,2014-04-23 23:22:22.224,412.628
AS14.07,2014-04-26 23:29:52.153,376.602
AS14.07,2014-04-26 23:41:10.040,33.172
AS14.07,2014-04-27 18:34:32.051,53.51
AS14.07,2014-04-28 10:17:13.299,140.703
AS14.07,2014-04-28 10:21:20.796,5.022
AS14.07,2014-04-28 19:27:56.828,18.079
AS14.07,2014-04-28 19:34:43.361,29.97
AS14.07,2014-04-28 19:38:28.677,2.669
AS14.07,2014-04-28 19:44:31.720,5.135
AS14.07,2014-04-28 19:45:18.788,5.107
AS14.07,2014-04-28 19:45:24.266,3.831
AS14.07,2014-04-28 19:46:50.673,3.532
AS14.07,2014-04-28 19:52:43.719,63.884
AS14.07,2014-04-28 19:59:51.701,8.038
AS14.07,2014-04-28 21:04:11.160,1.006
AS14.07,2014-04-29 00:26:51.128,44.167
AS14.07,2014-04-29 12:24:15.204,62.233
AS14.07,2014-04-29 17:06:58.907,78.462
AS14.07,2014-04-30 04:42:07.315,16.068
AS14.07,2014-04-30 04:45:52.809,35.16
AS14.07,2014-04-30 13:26:02.779,9.043
AS14.07,2014-04-30 16:40:53.072,42.178
AS14.07,2014-04-30 16:44:30.292,104.463
AS14.07,2014-05-01 06:54:39.851,94.392
AS14.07,2014-05-01 06:57:41.684,4.123
AS14.07,2014-05-02 19:23:58.473,107.584
AS14.07,2014-05-02 19:25:53.371,4.511
AS14.08,2014-03-14 14:57:21.444,63.775
AS14.08,2014-03-14 15:13:28.072,5.081
AS14.08,2014-03-14 16:09:47.007,18.059
AS14.08,2014-03-14 16:18:16.542,24.263
AS14.08,2014-03-14 17:18:38.535,12.041
AS14.08,2014-03-14 17:18:50.576,49.971
AS14.08,2014-03-14 17:44:07.325,7.057
AS14.08,2014-03-27 23:38:33.940,358.674
AS14.08,2014-03-28 09:25:35.678,17.076
AS14.08,2014-03-28 09:27:30.239,4.209
AS14.08,2014-03-28 14:01:30.456,27.502
AS14.08,2014-03-28 14:02:44.046,5.076
AS14.08,2014-03-28 14:02:49.459,6.471
AS14.08,2014-03-28 14:05:11.404,22.569
AS14.08,2014-03-28 14:06:02.144,79.899
AS14.08,2014-03-28 14:27:41.213,0.876
AS14.08,2014-03-28 14:27:45.269,0.8
AS14.08,2014-03-28 14:40:44.160,3.056
AS14.08,2014-04-07 12:24:43.200,7.028
AS14.08,2014-04-19 20:48:22.269,22.302
AS14.08,2014-04-20 13:43:58.795,17.156
AS14.08,2014-05-03 11:06:46.249,6.071
AS14.08,2014-05-04 00:55:09.496,228.277
AS14.08,2014-05-04 00:59:18.301,60.287
