id,time,appCat.entertainment
AS14.01,2014-04-08 11:00:24.364,183.113
AS14.01,2014-04-08 11:03:47.578,108.448
AS14.01,2014-04-08 11:06:33.674,24.225
AS14.01,2014-04-08 11:07:02.966,10.158
AS14.01,2014-04-08 11:07:16.138,75.931
AS14.01,2014-04-08 11:08:44.108,103.525
AS14.01,2014-04-08 12:47:58.875,26.108
AS14.01,2014-04-08 18:57:43.523,3.017
AS14.01,2014-04-08 19:13:23.493,28.132
AS14.01,2014-04-08 19:14:28.039,89.277
AS14.01,2014-04-08 19:21:38.526,29.106
AS14.01,2014-04-08 20:52:23.423,54.214
AS14.01,2014-04-08 20:54:32.581,7.211
AS14.01,2014-04-08 21:35:03.246,204.208
AS14.01,2014-04-08 23:28:23.802,77.417
AS14.01,2014-04-09 08:56:10.607,119.62
AS14.01,2014-04-09 11:14:21.403,94.518
AS14.01,2014-04-09 11:18:37.757,42.393
AS14.01,2014-04-09 11:19:51.121,22.096
AS14.01,2014-04-09 11:26:40.522,7.081
AS14.01,2014-04-09 11:26:49.619,75.653
AS14.01,2014-04-09 11:28:07.279,2.008
AS14.01,2014-04-09 11:28:14.335,78.389
AS14.01,2014-04-09 15:35:15.555,121.589
AS14.01,2014-04-09 23:16:19.296,114.617
AS14.01,2014-04-09 23:20:00.332,88.694
AS14.01,2014-04-09 23:47:40.066,174.112
AS14.01,2014-04-10 00:38:46.493,1309.541
AS14.01,2014-04-10 01:00:53.112,3.784
AS14.01,2014-04-10 01:02:21.285,16.092
AS14.01,2014-04-10 11:28:56.578,6.289
AS14.01,2014-04-10 11:29:04.444,166.07
AS14.01,2014-04-10 19:39:47.507,67.286
AS14.01,2014-04-10 19:44:14.411,235.028
AS14.01,2014-04-10 20:35:52.171,2.582
AS14.01,2014-04-10 21:04:27.229,13.545
AS14.01,2014-04-10 23:31:54.743,8.546
AS14.01,2014-04-10 23:49:38.167,4.013
AS14.01,2014-04-10 23:52:04.059,26.117
AS14.01,2014-04-11 09:52:37.453,26.387
AS14.01,2014-04-11 11:21:24.191,82.457
AS14.01,2014-04-11 17:13:54.401,210.742
AS14.01,2014-04-11 17:20:36.033,4.39
AS14.01,2014-04-11 17:21:34.631,12.038
AS14.01,2014-04-11 20:38:09.519,47.771
AS14.01,2014-04-11 20:40:14.272,50.464
AS14.01,2014-04-11 21:34:59.829,913.996
AS14.01,2014-04-11 21:50:25.066,5.635
AS14.01,2014-04-11 21:59:55.670,5.019
AS14.01,2014-04-11 22:00:15.970,2.005
AS14.01,2014-04-11 22:00:18.983,315.41
AS14.01,2014-04-11 22:05:36.407,103.613
AS14.01,2014-04-11 22:09:56.434,9.399
AS14.01,2014-04-11 22:10:08.497,1.002
AS14.01,2014-04-11 22:14:22.163,185.81
AS14.01,2014-04-12 14:02:55.490,494.585
AS14.01,2014-04-12 14:16:25.671,174.14
AS14.01,2014-04-12 14:19:21.821,284.914
AS14.01,2014-04-12 16:00:39.088,89.263
AS14.01,2014-04-12 16:41:47.279,10.084
AS14.01,2014-04-12 22:28:26.887,307.744
AS14.01,2014-04-12 22:34:10.971,9.523
AS14.01,2014-04-12 22:36:02.451,408.277
AS14.01,2014-04-12 22:43:54.996,55.268
AS14.01,2014-04-12 22:44:59.339,273.187
AS14.01,2014-04-12 22:51:02.943,36.151
AS14.01,2014-04-12 23:36:54.529,43.346
AS14.01,2014-04-13 10:23:59.184,35.196
AS14.01,2014-04-13 22:21:00.549,4.282
AS14.01,2014-04-13 23:10:20.530,162.745
AS14.01,2014-04-13 23:13:43.411,47.169
AS14.01,2014-04-14 07:50:52.582,62.742
AS14.01,2014-04-14 08:06:12.227,12.825
AS14.01,2014-04-14 08:06:29.608,14.054
AS14.01,2014-04-14 08:07:07.875,614.064
AS14.01,2014-04-14 08:17:25.976,1234.768
AS14.01,2014-04-14 08:38:23.842,736.362
AS14.01,2014-04-14 08:51:35.414,313.415
AS14.01,2014-04-14 08:56:52.871,184.255
AS14.01,2014-04-14 09:00:15.026,866.721
AS14.01,2014-04-14 09:14:52.792,148.851
