id,time,appCat.office
AS14.23,2014-04-23 12:02:01.871,18.433
AS14.23,2014-04-23 12:02:20.950,15.172
AS14.23,2014-04-23 12:02:56.734,42.785
AS14.23,2014-04-23 13:19:38.523,88.077
AS14.23,2014-04-23 13:21:07.178,38.938
AS14.23,2014-04-23 13:21:46.733,46.312
AS14.23,2014-04-23 13:22:43.747,99.138
AS14.23,2014-04-23 13:24:24.252,15.159
AS14.23,2014-04-23 13:24:41.619,9.035
AS14.23,2014-04-23 15:31:29.334,37.326
AS14.23,2014-04-23 15:32:28.088,93.453
AS14.23,2014-04-23 15:34:55.832,20.125
AS14.23,2014-04-23 15:36:41.391,20.153
AS14.23,2014-04-23 15:38:07.867,193.075
AS14.23,2014-04-23 15:41:23.680,129.212
AS14.23,2014-04-23 15:43:33.601,60.983
AS14.23,2014-04-23 15:44:35.193,27.188
AS14.23,2014-04-23 15:45:03.039,143.968
AS14.23,2014-04-23 15:47:45.878,1.004
AS14.23,2014-04-23 16:01:31.023,264.011
AS14.23,2014-04-23 16:24:41.706,2.86
AS14.23,2014-04-23 16:26:35.903,2.228
