id,time,appCat.other
AS14.01,2014-04-21 11:49:12.426,6.205
AS14.01,2014-04-21 13:30:54.125,10.26
AS14.01,2014-04-21 15:22:50.283,8.027
AS14.01,2014-04-21 18:24:20.552,26.367
AS14.01,2014-04-21 21:10:29.114,7.19
AS14.01,2014-04-22 08:56:53.726,13.26
AS14.01,2014-04-22 11:12:51.674,14.257
AS14.01,2014-04-22 12:52:26.312,7.022
AS14.01,2014-04-22 14:54:27.977,13.315
AS14.01,2014-04-22 18:13:22.839,9.16
AS14.01,2014-04-22 20:54:10.338,6.146
AS14.01,2014-04-23 10:15:56.263,7.028
AS14.01,2014-04-23 11:10:04.430,3.021
AS14.01,2014-04-23 11:54:13.466,8.066
AS14.01,2014-04-23 15:09:11.496,8.024
AS14.01,2014-04-23 18:19:12.891,7.162
AS14.01,2014-04-23 21:10:52.075,9.097
AS14.01,2014-04-24 11:00:45.311,9.058
AS14.01,2014-04-24 14:56:25.141,6.014
AS14.01,2014-04-24 18:09:22.114,7.612
AS14.01,2014-04-24 21:03:26.282,9.249
AS14.01,2014-04-25 09:43:59.980,11.202
AS14.01,2014-04-25 11:24:31.526,6.022
AS14.01,2014-04-25 11:55:49.494,18.18
AS14.01,2014-04-25 15:05:28.509,8.141
AS14.01,2014-04-25 18:10:50.099,8.118
AS14.01,2014-04-25 22:14:30.618,17.184
AS14.01,2014-04-26 09:24:39.744,10.06
AS14.01,2014-04-26 13:19:10.365,8.026
AS14.01,2014-04-26 15:54:57.763,8.02
AS14.01,2014-04-26 19:42:10.496,13.077
AS14.01,2014-04-26 23:00:56.532,7.022
AS14.01,2014-04-27 10:59:37.901,6.055
AS14.01,2014-04-27 12:24:03.055,7.254
AS14.01,2014-04-27 14:46:29.158,49.446
AS14.01,2014-04-27 15:38:50.655,9.027
AS14.01,2014-04-27 16:01:22.118,81.638
AS14.01,2014-04-27 16:20:43.072,846.752
AS14.01,2014-04-27 16:35:08.890,2.006
AS14.01,2014-04-27 18:35:42.339,36.289
AS14.01,2014-04-27 20:13:02.647,8.147
AS14.01,2014-04-27 20:58:00.744,10.07
AS14.01,2014-04-28 10:14:34.805,32.362
AS14.01,2014-04-28 11:38:08.319,4.006
AS14.01,2014-04-28 12:35:26.263,8.045
AS14.01,2014-04-28 15:15:57.134,10.095
AS14.01,2014-04-28 18:03:19.740,9.029
AS14.01,2014-04-28 22:57:28.183,9.047
AS14.01,2014-04-29 09:46:09.161,7.03
AS14.01,2014-04-29 12:18:39.614,9.185
AS14.01,2014-04-29 15:46:52.480,11.173
AS14.01,2014-04-29 18:58:06.469,7.025
AS14.01,2014-04-29 21:52:30.296,6.059
AS14.01,2014-04-30 09:52:47.025,19.073
AS14.01,2014-04-30 12:05:06.384,8.196
AS14.01,2014-04-30 13:31:16.023,4.018
AS14.01,2014-04-30 14:08:57.369,36.379
AS14.01,2014-04-30 14:28:05.950,78.408
AS14.01,2014-04-30 17:39:32.006,22.421
AS14.01,2014-04-30 18:20:23.999,9.262
AS14.01,2014-04-30 21:03:41.723,8.026
AS14.01,2014-05-01 11:22:45.194,10.031
AS14.01,2014-05-01 11:23:00.380,6.043
AS14.01,2014-05-01 12:10:26.835,8.024
AS14.01,2014-05-01 16:17:06.392,7.054
AS14.01,2014-05-01 17:55:57.130,6.023
AS14.01,2014-05-01 20:56:03.914,7.255
AS14.01,2014-05-02 11:45:39.674,7.119
AS14.01,2014-05-02 12:17:30.835,6.035
AS14.01,2014-05-02 14:59:33.747,5.015
AS14.01,2014-05-02 17:58:54.315,6.254
AS14.01,2014-05-02 21:33:33.167,8.02
AS14.01,2014-05-03 09:55:56.036,10.301
AS14.01,2014-05-03 13:06:28.611,7.027
AS14.01,2014-05-03 16:13:16.174,8.044
AS14.01,2014-05-03 19:12:23.512,8.023
AS14.01,2014-05-03 21:16:10.153,7.174
AS14.01,2014-05-04 11:04:16.963,9.398
AS14.01,2014-05-04 11:05:11.716,7.019
AS14.01,2014-05-04 12:35:46.467,7.017
AS14.01,2014-05-04 15:20:20.617,5.05
AS14.01,2014-05-04 21:53:28.706,7.041
AS14.02,2014-03-14 09:43:22.739,55.026
AS14.02,2014-03-14 09:44:27.591,5.163
AS14.02,2014-03-14 09:44:44.983,58.862
AS14.02,2014-03-14 09:46:37.908,36.486
AS14.02,2014-03-14 09:48:00.868,3.025
AS14.02,2014-03-14 09:50:46.016,30.198
AS14.02,2014-03-14 09:51:17.105,0.824
AS14.02,2014-03-14 09:51:18.473,31.439
AS14.02,2014-03-14 09:52:41.963,2.064
AS14.02,2014-03-16 13:35:48.569,30.172
AS14.02,2014-03-16 13:36:29.357,12.473
AS14.02,2014-03-16 13:37:21.802,9.659
AS14.02,2014-03-16 13:43:11.746,9.902
AS14.02,2014-03-16 13:44:49.088,52.281
AS14.02,2014-03-16 13:47:03.983,31.112
AS14.02,2014-03-16 13:50:05.117,30.689
AS14.02,2014-03-16 13:50:39.436,30.873
AS14.02,2014-03-16 13:51:13.009,28.812
AS14.02,2014-03-16 13:55:24.973,47.559
AS14.02,2014-03-16 13:57:49.578,5.614
AS14.02,2014-03-16 13:58:02.969,2.577
AS14.02,2014-03-16 14:02:04.948,7.044
AS14.02,2014-03-16 14:03:08.230,27.052
AS14.02,2014-03-16 15:50:03.181,18.19
AS14.02,2014-03-16 18:06:52.046,30.135
AS14.02,2014-03-16 21:15:46.427,25.445
AS14.02,2014-03-16 21:29:59.440,5.463
AS14.02,2014-03-16 21:30:22.618,3.054
AS14.02,2014-03-17 09:34:01.663,16.168
AS14.02,2014-03-17 12:58:12.927,8.135
AS14.02,2014-03-17 18:08:45.516,16.098
AS14.02,2014-03-17 21:41:50.444,11.416
AS14.02,2014-03-17 21:51:09.966,30.009
AS14.02,2014-03-17 21:58:58.835,10.023
AS14.02,2014-03-17 21:59:23.680,3.07
AS14.02,2014-03-17 22:24:56.595,8.78
AS14.02,2014-03-18 09:12:32.118,23.603
AS14.02,2014-03-18 12:11:13.877,19.57
AS14.02,2014-03-18 15:34:44.726,12.188
AS14.02,2014-03-18 20:35:00.595,25.161
AS14.02,2014-03-18 22:08:34.144,8.2
AS14.02,2014-03-19 09:17:28.394,16.173
AS14.02,2014-03-19 12:01:52.617,27.891
AS14.02,2014-03-19 12:17:31.698,2.005
AS14.02,2014-03-19 15:31:26.457,19.277
AS14.02,2014-03-19 20:12:18.766,24.259
AS14.02,2014-03-19 23:17:33.927,15.931
AS14.02,2014-03-20 09:27:46.007,11.004
AS14.02,2014-03-20 17:11:55.000,26.568
AS14.02,2014-03-20 17:12:23.269,3.02
AS14.02,2014-03-20 17:12:28.358,8.697
AS14.02,2014-03-20 17:13:57.676,9.842
AS14.02,2014-03-20 17:17:18.739,4.046
AS14.02,2014-03-20 18:16:22.322,15.543
AS14.02,2014-03-20 21:40:28.071,8.137
AS14.02,2014-03-21 12:59:32.186,6.055
AS14.02,2014-03-21 15:19:16.737,9.151
AS14.02,2014-03-21 18:13:21.908,10.662
AS14.02,2014-03-21 22:16:12.647,12.076
AS14.02,2014-03-22 10:13:48.141,1.003
AS14.02,2014-03-22 15:00:00.628,13.832
AS14.02,2014-03-22 20:14:03.140,16.14
AS14.02,2014-03-22 21:52:50.938,12.229
AS14.02,2014-03-23 09:29:26.448,10.251
AS14.02,2014-03-23 13:14:39.698,9.561
AS14.02,2014-03-23 14:57:28.180,34.322
AS14.02,2014-03-23 23:20:27.421,7.731
AS14.02,2014-03-24 10:00:07.851,10.346
