id,time,appCat.communication
AS14.01,2014-03-23 14:16:40.799,154.774
AS14.01,2014-03-23 14:19:40.651,20.951
AS14.01,2014-03-23 14:20:09.992,104.348
AS14.01,2014-03-23 14:27:05.365,26.395
AS14.01,2014-03-23 14:28:00.242,42.245
AS14.01,2014-03-23 14:29:23.476,11.312
AS14.01,2014-03-23 15:33:11.529,128.915
AS14.01,2014-03-23 15:35:27.750,2.008
AS14.01,2014-03-23 15:38:03.361,32.108
AS14.01,2014-03-23 15:38:41.769,12.032
AS14.01,2014-03-23 16:32:32.290,50.295
AS14.01,2014-03-23 16:46:22.578,28.879
AS14.01,2014-03-23 17:16:40.621,4.014
AS14.01,2014-03-23 17:50:30.440,96.473
AS14.01,2014-03-23 18:02:37.009,5.095
AS14.01,2014-03-23 18:07:00.513,61.837
AS14.01,2014-03-23 18:13:37.233,101.885
AS14.01,2014-03-23 19:06:26.602,124.626
AS14.01,2014-03-23 19:09:01.413,14.435
AS14.01,2014-03-23 19:09:19.790,0.915
AS14.01,2014-03-23 19:15:34.381,101.374
AS14.01,2014-03-23 19:20:36.407,5.662
AS14.01,2014-03-23 19:20:48.839,14.675
AS14.01,2014-03-23 19:21:38.109,13.047
AS14.01,2014-03-23 19:21:58.505,7.105
AS14.01,2014-03-23 19:26:09.114,18.418
AS14.01,2014-03-23 19:34:55.661,11.953
AS14.01,2014-03-23 19:35:08.170,5.969
AS14.01,2014-03-23 19:41:17.529,4.727
AS14.01,2014-03-23 19:42:03.568,2.974
AS14.01,2014-03-23 19:49:01.111,5.069
AS14.01,2014-03-23 19:49:07.117,5.062
AS14.01,2014-03-23 19:49:12.183,23.117
AS14.01,2014-03-23 19:56:13.250,16.017
AS14.01,2014-03-23 19:57:28.953,3.227
AS14.01,2014-03-23 19:57:36.072,8.413
AS14.01,2014-03-23 19:58:31.608,20.342
AS14.01,2014-03-23 20:00:24.461,90.238
AS14.01,2014-03-23 20:02:58.351,10.584
AS14.01,2014-03-23 20:04:35.374,3.223
AS14.01,2014-03-23 20:05:24.451,4.093
AS14.01,2014-03-23 20:08:27.783,7.639
AS14.01,2014-03-23 20:50:23.835,56.739
AS14.01,2014-03-23 20:58:22.483,8.756
AS14.01,2014-03-23 21:14:14.190,41.791
AS14.01,2014-03-23 21:15:13.135,13.142
AS14.01,2014-03-23 21:16:38.049,22.667
AS14.01,2014-03-23 21:17:48.953,11.25
AS14.01,2014-03-23 21:27:00.311,62.376
AS14.01,2014-03-23 21:28:34.921,4.012
AS14.01,2014-03-23 21:32:16.145,84.817
AS14.01,2014-03-23 21:33:47.023,16.704
AS14.01,2014-03-23 21:47:16.223,9.667
AS14.01,2014-03-23 21:47:29.114,201.805
AS14.01,2014-03-23 21:57:28.372,22.203
AS14.01,2014-03-23 21:59:58.941,151.282
AS14.01,2014-03-23 22:02:49.104,3.332
AS14.01,2014-03-23 22:04:35.055,17.719
AS14.01,2014-03-23 22:12:19.335,17.356
AS14.01,2014-03-23 22:14:11.319,29.297
AS14.01,2014-03-23 22:15:00.795,53.014
AS14.01,2014-03-23 22:22:22.319,27.854
AS14.01,2014-03-23 22:27:40.061,42.484
AS14.01,2014-03-23 22:31:24.101,14.404
AS14.01,2014-03-23 22:35:40.112,38.992
AS14.01,2014-03-23 22:39:16.043,9.414
AS14.01,2014-03-23 22:42:37.130,16.039
AS14.01,2014-03-23 23:18:06.177,46.968
AS14.01,2014-03-23 23:19:13.588,86.034
AS14.01,2014-03-23 23:23:42.114,83.068
AS14.01,2014-03-23 23:28:46.190,136.984
AS14.01,2014-03-23 23:32:04.069,236.961
AS14.01,2014-03-23 23:38:19.095,94.464
AS14.01,2014-03-23 23:39:54.588,4.052
AS14.01,2014-03-23 23:44:13.072,49.15
AS14.01,2014-03-23 23:45:23.296,9.355
AS14.01,2014-03-23 23:46:18.792,40.9
AS14.01,2014-03-23 23:47:54.142,74.235
AS14.01,2014-03-23 23:53:35.170,5.026
AS14.01,2014-03-23 23:55:28.881,82.361
AS14.01,2014-03-24 08:16:11.885,17.044
AS14.01,2014-03-24 08:16:49.086,4.008
AS14.01,2014-03-24 08:17:01.128,39.147
AS14.01,2014-03-24 08:19:13.923,27.072
AS14.01,2014-03-24 08:29:34.575,26.115
AS14.01,2014-03-24 08:30:02.717,6.202
AS14.01,2014-03-24 08:35:53.104,106.579
AS14.01,2014-03-24 08:53:21.273,8.104
AS14.01,2014-03-24 08:57:11.200,98.712
AS14.01,2014-03-24 09:03:46.711,44.124
AS14.01,2014-03-24 09:19:21.076,32.073
AS14.01,2014-03-24 09:20:05.391,4.02
AS14.01,2014-03-24 09:20:09.411,11.025
AS14.01,2014-03-24 09:20:20.438,2.1
AS14.01,2014-03-24 09:20:22.595,912.431
AS14.01,2014-03-24 09:35:35.028,39.143
AS14.01,2014-03-24 09:42:47.252,16.162
AS14.01,2014-03-24 09:53:14.328,52.244
AS14.01,2014-03-24 09:54:55.793,120.428
AS14.01,2014-03-24 09:57:04.084,67.381
AS14.01,2014-03-24 09:59:03.299,29.55
AS14.01,2014-03-24 10:00:10.075,4.664
AS14.01,2014-03-24 10:02:08.098,6.25
AS14.01,2014-03-24 10:06:38.157,3.013
AS14.01,2014-03-24 10:06:41.177,19.746
AS14.01,2014-03-24 10:08:55.394,13.963
AS14.01,2014-03-24 10:10:19.976,2.015
AS14.01,2014-03-24 10:10:21.994,13.594
AS14.01,2014-03-24 10:21:26.219,2.013
AS14.01,2014-03-24 10:21:28.233,39.013
AS14.01,2014-03-24 10:22:16.191,57.053
AS14.01,2014-03-24 10:23:21.395,30.752
AS14.01,2014-03-24 10:24:09.477,34.442
AS14.01,2014-03-24 10:27:17.490,9.762
AS14.01,2014-03-24 10:29:02.915,10.05
AS14.01,2014-03-24 10:29:14.403,37.681
AS14.01,2014-03-24 10:31:40.229,4.009
AS14.01,2014-03-24 10:31:55.660,24.171
AS14.01,2014-03-24 10:32:26.104,26.313
AS14.01,2014-03-24 10:36:03.467,14.423
AS14.01,2014-03-24 10:39:25.273,2.064
AS14.01,2014-03-24 10:39:27.348,19.076
AS14.01,2014-03-24 10:39:46.427,2.131
AS14.01,2014-03-24 10:45:21.029,14.896
AS14.01,2014-03-24 10:45:44.365,20.404
AS14.01,2014-03-24 10:46:13.864,93.772
AS14.01,2014-03-24 10:49:54.763,32.519
AS14.01,2014-03-24 10:53:36.158,76.314
AS14.01,2014-03-24 11:10:18.779,33.15
AS14.01,2014-03-24 11:11:22.631,12.063
AS14.01,2014-03-24 11:13:02.039,5.014
AS14.01,2014-03-24 11:22:21.332,70.336
AS14.01,2014-03-24 11:26:41.194,399.215
AS14.01,2014-03-24 11:35:37.276,12.05
AS14.01,2014-03-24 11:45:09.604,21.158
AS14.01,2014-03-24 11:45:35.515,33.682
AS14.01,2014-03-24 11:46:35.286,95.463
AS14.01,2014-03-24 11:48:11.802,11.07
AS14.01,2014-03-24 11:48:31.371,19.87
AS14.01,2014-03-24 11:49:03.563,3.144
AS14.01,2014-03-24 11:49:06.711,5.052
AS14.01,2014-03-24 11:49:12.780,10.022
AS14.01,2014-03-24 11:49:51.911,85.396
AS14.01,2014-03-24 11:52:11.200,17.933
AS14.01,2014-03-24 11:53:22.983,15.086
AS14.01,2014-03-24 11:56:32.677,8.075
